department,id,alter_id,name,credit,teacher2,capacity,capacity_graduate,time,restrict,character,grade,second_choose,exprement,retry,choose_or_not,group
法学院,80662182,0,证券法专题研究,2,沈朝晖,10,50,"3-6(6-16周),3-5(6-16周)",优先:…,,,否,,否,否,
法学院,80667012,0,婚姻家庭法,2,龙俊,0,100,4-6(全周),优先:…,,,否,,否,否,
法学院,80669022,0,中国银行法,2,高丝敏,5,25,"1-2(前八周),1-1(前八周)",限:法…,全外文授课,,否,,否,否,
法学院,80669072,0,中国知识产权法概论,2,冯术杰,5,20,"1-4(前八周),1-3(前八周)",限:法…,全外文授课,,否,,否,否,
法学院,80669103,0,中国对外贸易和外商投资法,3,Tarrant…,0,25,"2-5(1-9周),2-4(1-9周),2-3(1-…",限:法…,全外文授课,,否,,否,否,
新闻学院,80670163,0,新媒体传播专题,3,熊澄宇,0,20,4-2(全周),限:新闻学…,,,否,,否,否,
新闻学院,80670423,0,高级新闻采写,3,曾繁旭,0,40,"2-4(全周),2-3(全周)",14:20-16:55…,,,否,,否,否,
新闻学院,80670572,0,媒介管理,2,RICHARD…,0,25,2-3(全周),限:新闻学院…,全外文授课,,否,,否,否,
新闻学院,80670612,0,英语特稿写作,2,王家全,0,40,1-2(全周),,全外文授课,,否,,否,否,
新闻学院,80670622,0,企业传播,2,范红,0,38,4-2(1-11周),限:新闻学院…,全外文授课,,否,,否,否,
新闻学院,80670632,0,跨文化传播,2,张莉,0,25,3-2(1-11周),限:新闻学院…,全外文授课,,否,,否,否,
新闻学院,80670672,0,文化创意产业,2,张铮,0,40,"7-4(11-14周),7-3(11-14周),…",限:新闻与传…,,,否,,否,否,
新闻学院,80670693,0,传播学理论研究,3,史安斌,0,40,2-2(全周),,,,否,,否,否,
新闻学院,80670702,0,新闻摄影与图片编辑,2,吕明响,0,30,"1-4(1-6周),1-3(1-6周),2-2(1…",限:新闻学院…,,,否,,否,否,
新闻学院,80670713,0,汉英新闻编译,3,关娟娟,0,30,3-6(全周),,外文授课比例≥50%(双语课),,否,,否,否,
新闻学院,80670813,0,媒介社会学,3,陈昌凤,0,40,"3-4(全周),3-5(全周)",,,,否,,否,否,
新闻学院,80670833,0,财经新闻数据挖掘与分析,3,LEE JAS…,0,46,5-2(全周),,全外文授课,,否,,否,否,
新闻学院,80670853,0,传媒经济研究,3,杭敏,0,40,"6-2(11-15周),6-1(11-15周),…",限:新闻与传…,,,否,,否,否,
新闻学院,80670871,0,学术规范与传播职业伦理,1,戴佳,0,90,"5-2(4-7周),5-1(4-7周)",硕博研究生…,,,否,,否,否,
新闻学院,80670883,0,媒体数据挖掘,3,沈阳,0,30,1-2(全周),,,,否,,否,否,
新闻学院,80670912,0,媒介文化研究,2,常江,0,30,"3-2(后八周),3-1(后八周)",,,,否,,否,否,
新闻学院,80670923,0,社会化媒体运营（2）,3,张小琴,0,18,"3-4(全周),3-5(全周)",,,,否,,否,否,
马克思…,80680013,0,国外马克思主义研究,3,刘敬东,0,30,2-2(全周),,,,否,,否,否,
马克思…,80680033,0,中国化的马克思主义,3,王传利,0,12,"1-2(后八周),1-1(后八周)",,,,否,,否,否,
马克思…,80680052,0,毛泽东思想研究,2,肖贵清,0,30,"3-2(前八周),3-1(前八周)",,,,否,,否,否,
马克思…,80680102,0,比较政治经济学：国家与市场,2,刘震,0,20,3-6(前八周),,,,否,,否,否,
马克思…,80680173,0,中共党史专题研究,3,李蕉,0,20,"1-4(前八周),1-3(前八周),1-5(…",优先:…,,,否,,否,否,
马克思…,80680222,0,高级政治经济学：研究方法与写作,2,张维,0,20,"5-4(后八周),5-3(后八周)",,,,否,,否,否,
马克思…,80680232,0,政治经济学前沿方法论与量化分析,2,龙治铭,0,30,2-6(1-11周),,,,否,,否,否,
马克思…,80680242,0,党的建设专题研究,2,何建宇,0,20,"5-2(前八周),5-1(前八周)",优先:…,,,否,,否,否,
人文学院,80690103,0,儒家哲学研究,3,高海波,5,25,4-2(全周),,,,否,,否,否,
人文学院,80690143,0,环境史研究导论,3,梅雪芹,0,25,"3-4(全周),3-3(全周)",优先:…,,,否,,否,否,
人文学院,80690233,0,证明论,3,俞珺华,10,10,"2-4(全周),2-3(全周)",,,,否,,否,否,
人文学院,80690243,0,甲骨文与殷商史,3,赵平安,0,25,3-2(全周),,,,否,,否,否,
人文学院,80690332,0,语言类型学,2,张赪,5,15,3-2(全周),,,,否,,否,否,
人文学院,80690503,0,启蒙哲学,3,范大邯,5,35,3-6(全周),,,,否,,否,否,
人文学院,80690513,0,形而上学,3,JIANG Y…,5,25,"1-4(全周),1-3(全周)",,,,否,,否,否,
人文学院,80700112,0,科学技术学研究方法,2,王程韡,0,30,5-2(1-11周),,,,否,,否,否,
社科学院,80700163,0,意识与决策,3,李虹,0,10,"2-4(全周),2-3(全周)",建议…,,,否,,否,否,
社科学院,80700212,0,中国与发展中国家,2,唐晓阳,0,30,1-4(全周),限:政…,,,否,,否,否,
社科学院,80700222,0,企业与企业史理论专题,2,黄德海,0,15,"2-6(前八周),2-5(前八周)",,,,否,,否,否,
社科学院,80700242,0,研究设计与编写,2,赵可金,0,60,(全周),限:社…,,,否,,否,否,
社科学院,80700311,0,发展中国家研究学术论文写作,1,张传杰,0,6,(双周),建议…,,,否,,否,否,
社科学院,80700403,0,心理咨询,3,樊富珉,0,30,(全周),限:社…,,,否,,否,否,
社科学院,80700413,0,社会保障工作,3,杨燕绥,0,30,(全周),限:社…,,,否,,否,否,
社科学院,80700492,0,国际关系实证分析,2,庞珣,0,30,3-2(全周),优先:…,,,否,,否,否,
人文学院,80700512,0,科学史名著与案例研读,2,刘兵,0,20,"2-5(前八周),2-4(前八周)",,,,否,,否,否,
社科学院,80700523,0,恐怖主义及其治理,3,吴大辉,0,30,"1-4(全周),1-3(全周)",优先:…,,,否,,否,否,
社科学院,80700622,0,互联网经济学,2,王勇,0,20,"2-4(前八周),2-3(前八周)",,,,否,,否,否,
社科学院,80700633,0,社会工作前沿,3,晋军,0,30,(全周),限:社…,,,否,,否,否,
社科学院,80700662,0,当代中国政府与政治,2,于晓虹,0,30,3-2(3-13周),,,,否,,否,否,
社科学院,80700681,0,创意精英与决策分析 （下）,1,韩磊,0,30,3-3(单周),清华…,,,否,,否,否,
社科学院,80700851,0,政策实践 (一),1,唐晓阳,0,30,(全周),清华…,,,否,,否,否,
社科学院,80700862,0,平台经济与商业生态专题,2,戎珂,0,15,"3-2(前八周),3-1(前八周)",,,,否,,否,否,
社科学院,80700882,0,民族学经典导读,2,张小军,0,30,"1-4(前八周),1-3(前八周)",优先:…,,,否,,否,否,
社科学院,80700963,0,数据与决策,3,钱静,0,7,"2-4(后八周),2-3(后八周),2-2(…",,,,否,,否,否,
社科学院,80700973,0,数据分析与优化建模,3,郑路,0,30,1-6(全周),建议…,,,否,,否,否,
社科学院,80700982,0,中西政治理论比较研究,2,任剑涛,0,10,"3-6(前八周),3-5(前八周)",,,,否,,否,否,
社科学院,80701083,0,应用计量经济学,3,孙震,2,15,1-2(全周),先修…,,,否,,否,否,
社科学院,80701162,0,中国改革的政治经济学,2,孟天广,0,30,1-6(全周),优先:…,,,否,,否,否,
社科学院,80701172,0,中东的战争与变革,2,佘纲正,0,15,2-4(全周),,,,否,,否,否,
社科学院,80701182,0,工程心理学专题与实践,2,何吉波,0,20,6-6(全周),,,,否,,否,否,
社科学院,80701202,0,应用认知心理学,2,宛小昂,0,10,4-2(全周),心理…,,,否,,否,否,
社科学院,80701212,0,叙事治疗的理论与技术,2,李焰,0,40,(全周),限:应…,,,否,,否,否,
社科学院,80701222,0,奥林匹克与国际体育研究,2,胡孝乾,0,40,2-3(全周),,,,否,,否,否,
社科学院,80701232,0,公务礼仪和公共关系,2,张莉,0,60,(全周),限:体…,,,否,,否,否,
社科学院,80708012,0,高级心理测量,2,钱静,0,40,(全周),限:应…,,,否,,否,否,
社科学院,80708032,0,职业生涯辅导,2,樊富珉,0,40,(全周),限:应…,,,否,,否,否,
社科学院,80708202,0,体育赛事组织与管理,2,,0,60,(全周),限:体…,,,否,,否,否,
社科学院,80708212,0,冬奥赛事管理,2,,0,60,(全周),限:体…,,,否,,否,否,
社科学院,80708222,0,奥林匹克营销,2,,0,60,(全周),限:体…,,,否,,否,否,
社科学院,80708232,0,全球市场中的体育,2,,0,60,(全周),限:体…,,,否,,否,否,
社科学院,80720021,0,体育哲学,1,乔凤杰,0,40,2-6(前八周),,,,否,,否,否,
美术学院,80800052,200,服装创新设计,2,李薇,0,57,"3-4(9周),3-3(9周),1-4(15周),…",限:深…,,,否,,否,否,
美术学院,80800062,0,服装综合造型研究,2,臧迎春,0,10,"4-4(1-4周),4-3(1-4周),5-4(1-…",限:美…,全外文授课,,否,,否,否,
美术学院,80800062,200,服装综合造型研究,2,陈燕琳,0,57,"2-4(1-4,7-9周),2-3(1-4,7-9…",限:深…,,,否,,否,否,
美术学院,80800072,0,染织创意设计,2,张树新,0,20,"4-4(后八周),4-3(后八周)",限:美…,,,否,,否,否,
美术学院,80800092,0,色彩设计,2,李莉婷,0,20,"2-4(9-12周),5-2(9-12周),2-3…",限:美…,,,否,,否,否,
美术学院,80800121,0,中国染织文化史,1,贾京生,0,20,"5-4(11-14周),5-3(11-14周)",限:美…,,,否,,否,否,
美术学院,80800142,0,景观陶艺设计,2,章星,0,10,"3-4(13-14周),3-3(13-14周),…",限:美…,,,否,,否,否,
美术学院,80800161,0,综合材料与陶瓷设计,1,李正安,0,10,"4-4(5周),4-3(5周),1-4(5周),1…",限:美…,,,否,实验信息,否,否,
美术学院,80800182,0,中外日用陶瓷装饰研究,2,王耀玲,0,10,"3-4(15-16周),3-3(15-16周),…",限:美…,,,否,,否,否,
美术学院,80800262,0,视觉传达设计跨媒介研究,2,陈磊,0,20,"2-4(9-12周),2-3(9-12周),4-4…",限:美…,,,否,,否,否,
美术学院,80800272,0,书籍设计,2,王红卫,0,25,"5-3(13-16周),2-4(13-16周),…",限:美…,,,否,,否,否,
美术学院,80800272,200,书籍设计,2,王红卫,0,57,"4-4(5周),3-2(5-6周),4-3(5周)…",限:深…,,,否,,否,否,
美术学院,80800291,0,批判性研究论文写作,1,赵超,0,30,"1-6(5-8周),1-5(5-8周)",限:美…,,,否,,否,否,
美术学院,80800302,0,信息、交互与创新设计,2,吴琼,0,20,"2-4(后八周),2-3(后八周)",优先:…,,,否,,否,否,
美术学院,80800332,0,室内设计研究,2,刘北光,0,15,"4-4(9-12周),4-3(9-12周),1-4…",限:美…,,,否,,否,否,
美术学院,80800352,0,可持续设计理论与实践,2,刘新,0,35,"4-4(13-16周),4-3(13-16周),…",优先:…,,,否,,否,否,
美术学院,80800382,0,色彩材料与表面装饰设计创新,2,赵超,0,35,"4-4(9-12周),4-3(9-12周),1-4…",限:美…,,,否,,否,否,
美术学院,80800442,0,汽车造型设计,2,严扬,0,20,"1-4(前八周),1-3(前八周)",限:美…,,,否,,否,否,
美术学院,80800502,0,设计教育述评,2,何洁,0,15,"5-4(9-12周),5-3(9-12周),2-4…",限:美…,,,否,,否,否,
美术学院,80800542,0,现代漫画创作,2,吴冠英,0,25,"2-4(9-12周),2-3(9-12周),4-4…",优先:…,,,否,,否,否,
美术学院,80800562,0,信息艺术产品应用设计,2,张磊,0,15,"2-4(13-16周),2-3(13-16周),…",优先:…,,,否,,否,否,
美术学院,80800582,0,服务设计专题研究,2,付志勇,0,30,"2-4(前八周),2-3(前八周)",优先:…,,,否,,否,否,
美术学院,80800592,0,中国纹样艺术史与设计研究,2,贾玺增,0,20,"2-2(5-12周),2-1(5-12周)",限:美…,,,否,,否,否,
美术学院,80800601,0,中国风尚的文本与形式,1,贾玺增,0,20,"2-2(1-4周),2-1(1-4周)",限:美…,,,否,,否,否,
美术学院,80800652,0,玻璃艺术,2,王建中,0,20,"1-4(13-16周),1-3(13-16周),…",限:美…,,,否,,否,否,
美术学院,80800682,0,漆塑艺术,2,周剑石,0,20,"3-3(11-14周),5-4(11-14周),…",限:美…,,,否,,否,否,
美术学院,80800692,0,综合材料创意表现,2,洪兴宇,0,20,"3-4(9-12周),3-3(9-12周),5-4…",限:美…,,,否,,否,否,
美术学院,80800772,0,版画创作,2,代大权,0,10,"4-4(11-12周),4-3(11-12周),…",限:美…,,,否,,否,否,
美术学院,80800782,0,当代水墨实验,2,陈辉,0,15,"4-4(11-12周),4-3(11-12周),…",限:美…,,,否,,否,否,
美术学院,80800901,0,设计研究的历史与理论,1,蔡军,0,15,"3-4(3-6周),3-3(3-6周)",限:美…,,,否,,否,否,
美术学院,80800942,0,汉唐宋元文化史文献讲读,2,李静杰,0,30,"6-2(前八周),6-1(前八周)",,,,否,,否,否,
美术学院,80800952,0,设计审美与设计批评,2,张夫也,0,20,"3-4(前八周),3-3(前八周)",限:美…,,,否,,否,否,
美术学院,80800982,0,西方现当代美术研究,2,张敢,0,20,"1-4(13-16周),1-3(13-16周),…",限:美…,,,否,,否,否,
美术学院,80801022,0,服务设计与创新,2,王国胜,0,10,"6-6(前八周),6-5(前八周)",限:美…,,,否,,否,否,
美术学院,80801042,0,大画幅摄影实践与研究,2,冯建国,0,15,"1-4(13-16周),1-3(13-16周),…",优先:…,,,否,实验信息,否,否,
美术学院,80801052,0,信息技术前沿与设计应用,2,徐迎庆,0,25,"3-4(9-12周),3-3(9-12周),1-4…",优先:…,,,否,,否,否,
美术学院,80801062,0,中古时期中国与周边地区文化艺术交流,2,李静杰,0,30,"6-4(前八周),6-3(前八周)",,,,否,,否,否,
美术学院,80801072,0,纺织材料应用与创新研究,2,杨静,0,20,"3-2(后八周),3-1(后八周)",限:美…,,,否,,否,否,
美术学院,80801132,0,科普产品设计研究,2,张雷,0,35,"4-4(3-6周),4-3(3-6周),1-4(3-…",限:美…,,,否,,否,否,
美术学院,80801142,0,科普展示设计研究,2,马赛,0,35,"4-4(7-10周),4-3(7-10周),1-4…",限:美…,,,否,,否,否,
美术学院,80801152,0,交互展示设计研究,2,米海鹏,0,35,"5-4(3-10周),5-3(3-10周)",限:美…,,,否,,否,否,
美术学院,80801162,0,视觉形象系统设计研究,2,原博,0,35,"4-2(3-6周),4-1(3-6周),1-2(3-…",限:美…,,,否,,否,否,
美术学院,80801174,0,艺术管理研究与实践,4,章锐,0,20,"2-4(全周),2-3(全周)",限:美…,,,否,,否,否,
美术学院,80801322,0,家具设计实践研究,2,于历战,0,20,"2-4(13-16周),2-3(13-16周),…",限:美…,,,否,,否,否,
美术学院,80801333,0,世界现当代陶艺理论及创作,3,白明,0,10,"5-4(1-3周),5-3(1-3周),4-4(1-…",限:美…,,,否,,否,否,
美术学院,80801362,0,城市艺术设计导论,2,郑宏,0,20,"5-4(9-10周),5-3(9-10周),2-4…",限:美…,,,否,,否,否,
美术学院,80801393,0,刺绣创新设计,3,张红娟,0,15,"1-4(9-14周),1-3(9-14周),3-4…",限:美…,,,否,,否,否,
美术学院,80801412,0,雕塑与公共空间研究,2,曾成钢,0,15,"4-3(5-8周),5-4(5-8周),5-3(5-…",限:美…,,,否,,否,否,
美术学院,80801422,0,重彩绘画语言表现与研究,2,叶健,0,15,"1-3(1-2周),3-4(1-2周),3-3(1-…",限:美…,,,否,,否,否,
美术学院,80801572,0,中国传统文化中的生态观,2,黄艳,0,15,"4-2(5-8周),4-1(5-8周),2-2(5-…",限:美…,全外文授课,,否,,否,否,
美术学院,80801592,0,旗袍文化研究与设计实践,2,李迎军,0,20,"2-4(13-16周),2-3(13-16周),…",限:美…,,,否,,否,否,
美术学院,80801672,0,艺术管理学原理,2,张勉,0,12,"1-4(前八周),1-3(前八周)",网上…,,,否,,否,否,
美术学院,80801682,0,中西方现当代美术发展比较中的绘画…,2,包林,0,15,"3-4(13-14周),3-3(13-14周),…",限:美…,,,否,,否,否,
美术学院,80801691,0,中日传统印染艺术比较,1,杨建军,0,20,"5-4(5-8周),5-3(5-8周)",限:美…,,,否,,否,否,
美术学院,80801702,0,工笔人物画研究,2,刘临,0,10,"1-3(1-2周),3-4(1-2周),3-3(1-…",限:美…,,,否,,否,否,
美术学院,80801722,0,历代花鸟画研究与创作,2,金纳,0,15,"5-3(13-16周),2-4(13-16周),…",限:美…,,,否,,否,否,
美术学院,80801803,0,凹版版画综合技法创新实践,3,闫辉,0,6,"3-4(13-15周),3-3(13-15周),…",网上…,实践课,,否,实验信息,否,否,
美术学院,80801813,0,跨媒介影像艺术创作与实践,3,邓岩,0,6,"1-4(1-4周),1-3(1-4周),3-4(1-…",网上…,实践课,,否,,否,否,
美术学院,80801822,0,纤维产品设计,2,岳嵩,0,20,"3-4(5-8周),3-3(5-8周),5-4(5-…",限:美…,,,否,,否,否,
美术学院,80801832,0,设计创新与商业计划,2,刘强,0,20,"2-4(3-10周),2-3(3-10周)",限:美…,,,否,,否,否,
美术学院,80801922,0,中国书画美学,2,陈池瑜,0,20,"4-4(后八周),4-3(后八周)",限:美…,,,否,,否,否,
美术学院,80805003,1,专业实践(1),3,张月,0,15,"1-4(1-6周),1-3(1-6周),5-2(1-…",限:美…,,,否,,否,否,
美术学院,80805003,2,专业实践(1),3,臧迎春,0,10,"1-4(1-6周),1-3(1-6周),3-4(1-…",限:美…,全外文授课,,否,,否,否,
美术学院,80805012,0,交互艺术设计研究,2,师丹青,0,25,"3-4(前八周),3-3(前八周)",优先:…,,,否,,否,否,
美术学院,80807012,0,艺术设计方法研究,2,柳冠中,0,95,"4-3(5-8周),2-4(5-8周),2-3(5-…",限:美…,,,否,,否,否,
美术学院,80807311,0,陶瓷工艺与设计,1,章星,0,4,"1-6(11-14周),1-5(11-14周)",网上…,,,否,,否,否,
美术学院,80807321,0,产品设计创新思维与表达,1,赵超,0,4,"6-6(1-4周),6-5(1-4周)",网上…,,,否,,否,否,
美术学院,80807332,0,陶瓷设计-1,2,王耀玲,0,4,"3-4(13-14周),3-3(13-14周),…",网上…,,,否,,否,否,
美术学院,80807351,0,现代图形创意设计,1,张歌明,0,4,"3-4(1-4周),3-3(1-4周)",网上…,,,否,,否,否,
美术学院,80807382,0,紫砂工艺与设计,2,王辉,0,4,"7-4(1-4周),7-3(1-4周),6-4(1-…",网上…,,,否,,否,否,
美术学院,80807402,0,现代陶艺,2,白明,0,4,"3-6(1-2周),3-5(1-2周),5-6(1-…",网上…,,,否,,否,否,
美术学院,80807441,0,文物保护法规,1,杨佩璋,0,9,"4-4(2周),4-3(2周),1-4(2周),1…",网上…,,,否,,否,否,
美术学院,80807453,0,漆器制作与修复工艺,3,周剑石,0,9,"3-2(11-14周),3-1(11-14周),…",网上…,,,否,,否,否,
美术学院,80807472,0,玻璃器制作与修复工艺,2,关东海,0,9,"5-3(13-16周),4-4(13-16周),…",网上…,,,否,,否,否,
美术学院,80807483,0,泥塑人物,3,李鹤,0,6,"2-6(1-10周),2-5(1-10周),3-6…",网上…,,,否,,否,否,
